# Thu Apr 24 11:38:35 2014: /usr/local/uvcdat/1.3.0/bin/cdat /home/STUDENT/dbirving/phd/data_processing/calc_wave_stats.py /mnt/meteo0/data/simmonds/dbirving/Merra/data/processed/rwid/psa/env-w567-vrot_Merra_250hPa_30day-runmean-anom-wrt-all_y181x360-np20N260E-lon225E335E-mermax-lat10S10N.nc env 6 /mnt/meteo0/data/simmonds/dbirving/Merra/data/processed/rwid/psa/psa-stats_Merra_250hPa_30day-runmean-anom-wrt-all_y181x360-np20N260E-lon225E335E-mermax-lat10S10N_env-w567-vrot-ampmin6.csv (Git hash: unknown)
date,start-lon,end-lon,extent,amp-mean,amp-max,amp-max-lon
1979-1-16,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-17,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-18,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-19,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-20,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-21,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-22,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-23,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-24,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-25,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-26,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-27,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-28,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-29,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-30,0.0,0.0,0.0,0.0,0.0,0.0
1979-1-31,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-1,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-2,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-3,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-4,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-5,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-6,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-7,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-8,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-9,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-10,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-11,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-12,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-13,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-14,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-15,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-16,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-17,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-18,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-19,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-20,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-21,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-22,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-23,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-24,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-25,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-26,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-27,0.0,0.0,0.0,0.0,0.0,0.0
1979-2-28,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-1,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-2,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-3,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-4,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-5,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-6,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-7,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-8,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-9,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-10,0.0,0.0,0.0,0.0,0.0,0.0
1979-3-11,259.0,291.0,33.0,6.0930573434540722,6.14129,274.0
1979-3-12,249.0,308.0,60.0,6.3485890706380212,6.52354,278.0
1979-3-13,251.0,312.0,62.0,6.3752672749180945,6.56503,281.0
1979-3-14,261.0,310.0,50.0,6.2335485839843754,6.35143,285.0
1979-3-15,278.0,300.0,23.0,6.0489959716796875,6.07362,288.0
1979-3-16,280.0,298.0,19.0,6.0325389661287003,6.04946,289.0
1979-3-17,269.0,301.0,33.0,6.0754477761008525,6.11614,285.0
1979-3-18,256.0,301.0,46.0,6.1646436608355977,6.24945,279.0
1979-3-19,247.0,312.0,66.0,6.4015077533143936,6.59964,280.0
1979-3-20,242.0,321.0,80.0,6.6152008056640623,6.93111,282.0
1979-3-21,239.0,325.0,87.0,6.7620590034572556,7.15873,282.0
1979-3-22,237.0,332.0,96.0,6.9865500132242842,7.49483,284.0
1979-3-23,237.0,338.0,102.0,7.1812612496170347,7.78875,288.0
1979-3-24,237.0,343.0,107.0,7.3248633268837615,8.00753,290.0
1979-3-25,236.0,347.0,112.0,7.4512835911342075,8.22149,291.0
1979-3-26,236.0,346.0,111.0,7.4458222260346281,8.20942,291.0
1979-3-27,239.0,343.0,105.0,7.2634312220982142,7.92894,291.0
1979-3-28,239.0,341.0,103.0,7.2159631229141388,7.84998,290.0
1979-3-29,236.0,344.0,109.0,7.3794998028956424,8.1092,290.0
1979-3-30,236.0,346.0,111.0,7.4266417907164977,8.18947,291.0
1979-3-31,237.0,344.0,108.0,7.3488543475115744,8.05541,291.0
1979-4-1,238.0,341.0,104.0,7.2141758845402641,7.85715,289.0
1979-4-2,234.0,341.0,108.0,7.3603012650101274,8.07558,287.0
1979-4-3,234.0,341.0,108.0,7.3565210413049771,8.0626,288.0
1979-4-4,236.0,339.0,104.0,7.2190469595102167,7.85581,287.0
1979-4-5,236.0,336.0,101.0,7.0953151589573018,7.67637,286.0
1979-4-6,235.0,337.0,103.0,7.1734133229672334,7.77944,286.0
1979-4-7,228.0,341.0,114.0,7.4988483629728622,8.29928,284.0
1979-4-8,224.0,343.0,120.0,7.7276769002278645,8.65026,283.0
1979-4-9,222.0,345.0,124.0,7.8765721474924399,8.88955,283.0
1979-4-10,222.0,346.0,125.0,7.9325791015625002,8.97029,284.0
1979-4-11,223.0,346.0,124.0,7.9085560460244455,8.92754,284.0
1979-4-12,222.0,348.0,127.0,8.0538959653358759,9.1458,284.0
1979-4-13,223.0,349.0,127.0,8.054063211275837,9.15208,285.0
1979-4-14,220.0,350.0,131.0,8.1832089023735683,9.37242,285.0
1979-4-15,219.0,350.0,132.0,8.2454047925544511,9.4579,285.0
1979-4-16,217.0,349.0,133.0,8.3243582589285712,9.57143,284.0
1979-4-17,215.0,352.0,138.0,8.5506963315217384,9.94884,283.0
1979-4-18,214.0,354.0,141.0,8.7108604485261516,10.1985,284.0
1979-4-19,215.0,354.0,140.0,8.6984313964843754,10.16,285.0
1979-4-20,216.0,354.0,139.0,8.7104913725269792,10.1599,285.0
1979-4-21,220.0,352.0,133.0,8.3840185179746243,9.65333,286.0
1979-4-22,228.0,346.0,119.0,7.7051073603269433,8.62267,287.0
1979-4-23,240.0,336.0,97.0,7.0287639185325386,7.57172,288.0
1979-4-24,261.0,317.0,57.0,6.3272169682017543,6.4915,289.0
1979-4-25,0.0,0.0,0.0,0.0,0.0,0.0
1979-4-26,0.0,0.0,0.0,0.0,0.0,0.0
1979-4-27,0.0,0.0,0.0,0.0,0.0,0.0
1979-4-28,0.0,0.0,0.0,0.0,0.0,0.0
1979-4-29,0.0,0.0,0.0,0.0,0.0,0.0
1979-4-30,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-1,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-2,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-3,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-4,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-5,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-6,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-7,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-8,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-9,0.0,0.0,0.0,0.0,0.0,0.0
1979-5-10,250.0,293.0,44.0,6.2036576704545459,6.30092,271.0
1979-5-11,236.0,308.0,73.0,6.5665500588613011,6.85483,272.0
1979-5-12,225.0,320.0,96.0,7.0493558247884112,7.59294,273.0
1979-5-13,221.0,328.0,108.0,7.4073571099175348,8.13466,274.0
1979-5-14,220.0,334.0,115.0,7.5935647715692935,8.44163,277.0
1979-5-15,220.0,339.0,120.0,7.7831639607747398,8.73135,280.0
1979-5-16,220.0,343.0,124.0,7.920654296875,8.95383,282.0
1979-5-17,222.0,344.0,123.0,7.9385430560848578,8.95545,283.0
1979-5-18,222.0,343.0,122.0,7.8576465043865262,8.8464,282.0
1979-5-19,222.0,341.0,120.0,7.7768102010091145,8.71978,281.0
1979-5-20,222.0,338.0,117.0,7.6694695888421478,8.54265,280.0
1979-5-21,225.0,337.0,113.0,7.5134190922289825,8.30734,280.0
1979-5-22,229.0,334.0,106.0,7.2793901551444575,7.95352,281.0
1979-5-23,236.0,328.0,93.0,6.933868736349126,7.42563,282.0
1979-5-24,242.0,324.0,83.0,6.7387776202466112,7.11621,283.0
1979-5-25,244.0,324.0,81.0,6.6818357867959106,7.0382,284.0
1979-5-26,250.0,319.0,70.0,6.5067125592912944,6.76425,285.0
1979-5-27,258.0,312.0,55.0,6.3018171830610799,6.45465,285.0
1979-5-28,262.0,307.0,46.0,6.2116228186565898,6.31669,285.0
1979-5-29,260.0,312.0,53.0,6.2766211167821346,6.41822,286.0
1979-5-30,253.0,321.0,69.0,6.4938336800837861,6.74429,287.0
1979-5-31,250.0,326.0,77.0,6.6438249860491068,6.96482,288.0
1979-6-1,251.0,329.0,79.0,6.6527223224881329,6.99211,290.0
1979-6-2,256.0,327.0,72.0,6.536381191677517,6.81257,292.0
1979-6-3,267.0,320.0,54.0,6.2853715684678821,6.43325,294.0
1979-6-4,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-5,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-6,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-7,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-8,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-9,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-10,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-11,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-12,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-13,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-14,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-15,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-16,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-17,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-18,261.0,276.0,16.0,6.0237593650817871,6.03622,269.0
1979-6-19,261.0,281.0,21.0,6.041324070521763,6.06283,271.0
1979-6-20,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-21,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-22,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-23,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-24,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-25,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-26,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-27,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-28,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-29,0.0,0.0,0.0,0.0,0.0,0.0
1979-6-30,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-1,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-2,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-3,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-4,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-5,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-6,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-7,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-8,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-9,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-10,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-11,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-12,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-13,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-14,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-15,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-16,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-17,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-18,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-19,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-20,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-21,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-22,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-23,0.0,0.0,0.0,0.0,0.0,0.0
1979-7-24,257.0,309.0,53.0,6.2750445671801298,6.4078,284.0
1979-7-25,243.0,321.0,79.0,6.6458740234375,6.97481,283.0
1979-7-26,240.0,322.0,83.0,6.7177065194371233,7.08131,281.0
1979-7-27,240.0,317.0,78.0,6.6057864458133011,6.92279,279.0
1979-7-28,245.0,307.0,63.0,6.3887765066964288,6.58975,276.0
1979-7-29,250.0,295.0,46.0,6.2029684315557061,6.30718,273.0
1979-7-30,244.0,298.0,55.0,6.3031843705610795,6.45726,271.0
1979-7-31,236.0,310.0,75.0,6.5954992675781252,6.90132,273.0
1979-8-1,232.0,316.0,85.0,6.7903507008272062,7.19574,274.0
1979-8-2,229.0,319.0,91.0,6.937179397750687,7.41438,274.0
1979-8-3,227.0,322.0,96.0,7.047932306925456,7.58917,275.0
1979-8-4,229.0,321.0,93.0,6.962347871513777,7.46013,275.0
1979-8-5,234.0,316.0,83.0,6.7148077171969129,7.09136,275.0
1979-8-6,239.0,310.0,72.0,6.5314928690592451,6.80541,274.0
1979-8-7,240.0,310.0,71.0,6.522555928834727,6.78923,275.0
1979-8-8,241.0,309.0,69.0,6.4961127682008604,6.74683,275.0
1979-8-9,238.0,310.0,73.0,6.5734875822720467,6.86062,274.0
1979-8-10,236.0,313.0,78.0,6.6482630020532856,6.98237,274.0
1979-8-11,233.0,318.0,86.0,6.8107101085574131,7.22819,275.0
1979-8-12,234.0,316.0,83.0,6.7449951171875,7.1271,275.0
1979-8-13,241.0,308.0,68.0,6.4703467873965996,6.71612,274.0
1979-8-14,245.0,298.0,54.0,6.2927743417245372,6.43676,272.0
1979-8-15,260.0,283.0,24.0,6.0548915863037109,6.08215,271.0
1979-8-16,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-17,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-18,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-19,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-20,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-21,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-22,0.0,0.0,0.0,0.0,0.0,0.0
1979-8-23,0.0,0.0,0.0,0.0,0.0,0.0
